word_de,article,pos,translation_ru,translation_uk,example_de,example_ru,example_uk,categories
Servus,-,adjective,,,Es ist sehr Servus.,Это очень Servus.,Це дуже Servus.,
Sommer,-,adjective,,,Es ist sehr Sommer.,Это очень Sommer.,Це дуже Sommer.,
Sonne,die,noun,солнце,сонце,Die Sonne scheint den ganzen Tag.,Солнце светит весь день.,Сонце світить увесь день.,weather
Sonne scheint,-,phrase,,,Sonne scheint.,,,
Sonntag,der,noun,воскресенье,неділя,Am Sonntag besuchen wir Freunde.,В воскресенье мы навещаем друзей.,У неділю відвідуємо друзів.,time
Sonst noch etwas?,-,phrase,,,Sonst noch etwas?.,,,
"Sprechen Sie langsamer, bitte",-,phrase,,,"Sprechen Sie langsamer, bitte.",,,
Stadt,die,noun,город,місто,Die Stadt wächst sehr schnell.,Город растёт очень быстро.,Місто росте дуже швидко.,city
Stift,der,noun,ручка/карандаш,ручка/олівець,Kann ich deinen Stift benutzen?,Можно воспользоваться твоей ручкой?,Можна скористатися твоєю ручкою?,study
Stimmt so,-,phrase,,,Stimmt so.,,,
Student,der,noun,студент,студент,Der Student arbeitet nebenbei.,Студент подрабатывает.,Студент підробляє.,study
Studentin,die,noun,студентка,студентка,Die Studentin sucht eine Wohnung.,Студентка ищет жильё.,Студентка шукає житло.,study
Stunde,die,noun,час,година,Die Stunde ist schnell vorbei.,Час быстро прошёл.,Година швидко минула.,time
Super!,-,adjective,,,Es ist sehr Super!.,Это очень Super!.,Це дуже Super!.,
Supermarkt,der,noun,супермаркет,супермаркет,Der Supermarkt hat bis zehn auf.,Супермаркет открыт до десяти.,Супермаркет працює до десятої.,city
Suppe,die,noun,суп,суп,Die Suppe ist heute sehr lecker.,Суп сегодня очень вкусный.,Суп сьогодні дуже смачний.,food
Süden,-,adjective,,,Es ist sehr Süden.,Это очень Süden.,Це дуже Süden.,
Tag,der,noun,день,день,Jeden Tag lerne ich ein bisschen Deutsch.,Каждый день я немного учу немецкий.,Щодня я трохи вчу німецьку.,time
Tag – die Tage,-,phrase,,,Tag – die Tage.,,,
Tasche,die,noun,сумка,сумка,Deine Tasche ist auf dem Stuhl.,Твоя сумка на стуле.,Твоя сумка на стільці.,
Tee,der,noun,чай,чай,Möchten Sie grünen Tee?,Хотите зелёный чай?,Хочете зелений чай?,food
Tisch,der,noun,стол,стіл,Der Tisch steht am Fenster.,Стол стоит у окна.,Стіл стоїть біля вікна.,home
Tochter,die,noun,дочь,дочка,Meine Tochter ist acht Jahre alt.,Моей дочери восемь лет.,Моїй дочці вісім років.,family
Toll!,-,adjective,,,Es ist sehr Toll!.,Это очень Toll!.,Це дуже Toll!.,
Tomate,die,noun,помидор,помідор,Die Tomate ist sehr frisch.,Помидор очень свежий.,Помідор дуже свіжий.,food
Tschüss,-,phrase,пока,бувай,"Tschüss, bis morgen!","Пока, до завтра!","Бувай, до завтра!",
Tür,die,noun,дверь,двері,Mach bitte die Tür leise zu.,"Закрой, пожалуйста, дверь тихо.","Будь ласка, зачиняй двері тихо.",home
Uhr,die,noun,часы,годинник,Meine Uhr geht ein bisschen vor.,Мои часы немного спешат.,Мій годинник трохи поспішає.,time
Um 7 Uhr,-,phrase,,,Um 7 Uhr.,,,
Um wie viel Uhr,-,phrase,,,Um wie viel Uhr.,,,
Und dir?,-,phrase,,,Und dir?.,,,
Universität,die,noun,университет,університет,Die Universität ist modern ausgestattet.,Университет современно оснащён.,Університет сучасно оснащений.,study
Vater,der,noun,отец,батько,Mein Vater arbeitet als Ingenieur.,Мой отец работает инженером.,Мій батько працює інженером.,family
Verwandte,der,noun,родственник,родич,Ein Verwandter wohnt bei uns.,Один родственник живёт у нас.,Один родич живе в нас.,family
Vielen Dank,-,phrase,,,Vielen Dank.,,,
Vielleicht,-,adverb,возможно,можливо,Vielleicht komme ich später.,"Возможно, я приду позже.","Можливо, я прийду пізніше.",
Vogel,der,noun,птица,птах,Der Vogel sitzt auf dem Ast.,Птица сидит на ветке.,Птах сидить на гілці.,
Wann trifft ihr euch?,-,phrase,,,Wann trifft ihr euch?.,,,
Was darf’s sein?,-,phrase,,,Was darf’s sein?.,,,
Was kostet das,-,phrase,сколько это стоит,скільки це коштує,"Entschuldigung, was kostet das?","Извините, сколько это стоит?","Вибачте, скільки це коштує?",city
Was kostet das?,-,phrase,,,Was kostet das?.,,,
Was machst du beruflich?,-,phrase,,,Was machst du beruflich?.,,,
Wasser,das,noun,вода,вода,Ich trinke viel Wasser am Tag.,Я пью много воды в день.,Я п’ю багато води за день.,food
Westen,-,adjective,,,Es ist sehr Westen.,Это очень Westen.,Це дуже Westen.,
Wetter,das,noun,погода,погода,Das Wetter wird morgen besser.,Погода завтра станет лучше.,Погода завтра стане кращою.,weather
Wie alt bist du? – Ich bin,-,phrase,,,Wie alt bist du? – Ich bin.,,,
Wie bitte?,-,phrase,,,Wie bitte?.,,,
Wie geht’s Ihnen?,-,phrase,,,Wie geht’s Ihnen?.,,,
Wie geht’s dir?,-,phrase,,,Wie geht’s dir?.,,,
Wie heißen Sie,-,phrase,как вас зовут,як вас звати,Wie heißen Sie bitte?,"Скажите, как вас зовут.","Скажіть, як вас звати.",
Wie heißen Sie?,-,phrase,,,Wie heißen Sie?.,,,
Wie heißt du?,-,phrase,,,Wie heißt du?.,,,
Wie ist das Wetter?,-,phrase,,,Wie ist das Wetter?.,,,
Wie komme ich zum Bahnhof?,-,phrase,,,Wie komme ich zum Bahnhof?.,,,
Wie lange,-,phrase,,,Wie lange.,,,
Wie spät ist es?,-,phrase,,,Wie spät ist es?.,,,
Wie viel ist das?,-,phrase,,,Wie viel ist das?.,,,
Wind,der,noun,ветер,вітер,Heute weht starker Wind.,Сегодня дует сильный ветер.,Сьогодні дме сильний вітер.,weather
Winter,-,adjective,,,Es ist sehr Winter.,Это очень Winter.,Це дуже Winter.,
Wo ist,-,phrase,,,Wo ist.,,,
Wo ist die Toilette,-,phrase,где туалет,де туалет,"Wo ist die Toilette, bitte?","Подскажите, где туалет?","Підкажіть, де туалет?",city
Woche,die,noun,неделя,тиждень,Die Woche war stressig.,Неделя была напряжённой.,Тиждень був напруженим.,time
Woher kommen Sie?,-,phrase,,,Woher kommen Sie?.,,,
Wohnung,die,noun,квартира,квартира,Die Wohnung ist hell und ruhig.,Квартира светлая и тихая.,Квартира світла і тиха.,home
Wolke,die,noun,облако,хмара,Viele Wolken am Himmel.,На небе много облаков.,На небі багато хмар.,weather
Zeit,die,noun,время,час,Ich habe heute wenig Zeit.,У меня сегодня мало времени.,Сьогодні маю мало часу.,time
Zimmer,das,noun,комната,кімната,"Mein Zimmer ist klein, aber gemütlich.","Моя комната маленькая, но уютная.","Моя кімната маленька, але затишна.",home
Zug,der,noun,поезд,потяг,Der Zug kommt pünktlich an.,Поезд прибывает вовремя.,Потяг прибуває вчасно.,transport
Zum Mitnehmen oder hier?,-,phrase,,,Zum Mitnehmen oder hier?.,,,
abfahren,-,adjective,,,Es ist sehr abfahren.,Это очень abfahren.,Це дуже abfahren.,
abholen,-,adjective,,,Es ist sehr abholen.,Это очень abholen.,Це дуже abholen.,
acht,-,number,восемь,вісім,Die Apotheke öffnet um acht.,Аптека открывается в восемь.,Аптека відкривається о восьмій.,time|health|city
achtzehn,-,adjective,,,Es ist sehr achtzehn.,Это очень achtzehn.,Це дуже achtzehn.,
achtzig,-,adjective,,,Es ist sehr achtzig.,Это очень achtzig.,Це дуже achtzig.,
allein,-,adjective,один,сам,Heute Abend bin ich allein zu Hause.,Сегодня вечером я один дома.,Сьогодні ввечері я сам удома.,
alt,-,adjective,старый,старий,"Mein Handy ist alt, aber funktioniert noch.","Мой телефон старый, но ещё работает.","Мій телефон старий, але ще працює.",
ander,-,adjective,другой,інший,Wir nehmen heute einen anderen Bus.,Сегодня поедем на другом автобусе.,Сьогодні поїдемо іншим автобусом.,
anfangen,-,verb,начинать,починати,Der Kurs fängt morgen an.,Курс начинается завтра.,Курс починається завтра.,study
angenehm,-,adjective,приятный,приємний,Die Musik ist leise und angenehm.,Музыка тихая и приятная.,Музика тиха і приємна.,
ankommen,-,verb,прибывать,прибувати,Der Zug kommt pünktlich an.,Поезд прибывает вовремя.,Потяг прибуває вчасно.,transport
anrufen,-,verb,звонить,дзвонити,Ich rufe dich heute Abend an.,Я позвоню тебе сегодня вечером.,Я зателефоную тобі сьогодні ввечері.,
ansehen,-,adjective,,,Es ist sehr ansehen.,Это очень ansehen.,Це дуже ansehen.,
antworten,-,verb,отвечать,відповідати,Bitte antworte schnell.,"Пожалуйста, ответь быстро.","Будь ласка, відповідай швидко.",
anziehen,-,verb,надевать,вдягати,Ich ziehe meine Jacke an.,Я надеваю свою куртку.,Я вдягаю свою куртку.,home
arbeiten,-,verb,работать,працювати,Ich arbeite in einem Büro.,Я работаю в офисе.,Я працюю в офісі.,study|city
arbeitslos,-,adjective,безработный,безробітний,Er ist seit zwei Monaten arbeitslos.,Он без работы уже два месяца.,Він без роботи вже два місяці.,
arm,-,adjective,бедный,бідний,"Er ist nicht arm, nur sparsam.","Он не бедный, только экономный.","Він не бідний, тільки економний.",
auf,-,adjective,,,Es ist sehr auf.,Это очень auf.,Це дуже auf.,
aufhören,-,adjective,,,Es ist sehr aufhören.,Это очень aufhören.,Це дуже aufhören.,
aufmachen,-,adjective,,,Es ist sehr aufmachen.,Это очень aufmachen.,Це дуже aufmachen.,
aufstehen,-,verb,вставать,вставати,Ich stehe jeden Morgen um sieben auf.,Я встаю каждое утро в семь.,Я встаю щоранку о сьомій.,health
ausfüllen,-,adjective,,,Es ist sehr ausfüllen.,Это очень ausfüllen.,Це дуже ausfüllen.,
ausgehen,-,adjective,,,Es ist sehr ausgehen.,Это очень ausgehen.,Це дуже ausgehen.,
ausländisch,-,adjective,иностранный,іноземний,Ich lerne gern ausländische Sprachen.,Я охотно учу иностранные языки.,Я із задоволенням вчу іноземні мови.,
ausschalten,-,adjective,,,Es ist sehr ausschalten.,Это очень ausschalten.,Це дуже ausschalten.,
aussehen,-,verb,выглядеть,виглядати,Du siehst müde aus.,Ты выглядишь усталым.,Ти виглядаєш втомленим.,health
aussteigen,-,adjective,,,Es ist sehr aussteigen.,Это очень aussteigen.,Це дуже aussteigen.,
backen,-,verb,печь,пекти,Meine Oma backt Kuchen.,Моя бабушка печёт пироги.,Моя бабуся пече пироги.,food
baden,-,verb,купаться,купатися,Die Kinder baden im See.,Дети купаются в озере.,Діти купаються в озері.,
bald,-,adverb,скоро,скоро,Ich rufe dich bald an.,Я скоро тебе позвоню.,Я скоро тобі подзвоню.,
bauen,-,adjective,,,Es ist sehr bauen.,Это очень bauen.,Це дуже bauen.,
bedeuten,-,adjective,,,Es ist sehr bedeuten.,Это очень bedeuten.,Це дуже bedeuten.,
beginnen,-,verb,начинать,починати,Der Film beginnt um acht.,Фильм начинается в восемь.,Фільм починається о восьмій.,time|city
bekannt,-,adjective,известный,відомий,Das Café ist hier sehr bekannt.,Это кафе здесь очень известно.,Це кафе тут дуже відоме.,
bekommen,-,verb,получать,отримувати,Ich bekomme viele E-Mails.,Я получаю много писем.,Я отримую багато листів.,study|city
benutzen,-,verb,использовать,використовувати,Benutze bitte die andere Tür.,"Пожалуйста, пользуйся другой дверью.","Будь ласка, користуйся іншими дверима.",home
beschreiben,-,adjective,,,Es ist sehr beschreiben.,Это очень beschreiben.,Це дуже beschreiben.,
besuchen,-,verb,посещать,відвідувати,Wir besuchen am Sonntag Freunde.,Мы навещаем друзей в воскресенье.,Ми відвідуємо друзів у неділю.,family|time
bezahlen,-,verb,платить,платити,Ich bezahle mit Karte.,Я плачу картой.,Я плачу карткою.,city
billig,-,adjective,дешёвый,дешевий,Das Ticket war überraschend billig.,Билет оказался удивительно дешёвым.,Квиток виявився дивовижно дешевим.,
blau,-,adjective,синий,синій,Der Himmel ist heute klar und blau.,Небо сегодня ясное и голубое.,Небо сьогодні ясне і блакитне.,colors
bleiben,-,verb,оставаться,залишатися,Ich bleibe heute zu Hause.,Я сегодня останусь дома.,Я сьогодні залишуся вдома.,home
brauchen,-,verb,нуждаться,потребувати,Ich brauche Hilfe.,Мне нужна помощь.,Мені потрібна допомога.,health
braun,-,adjective,коричневый,коричневий,Meine Tasche ist dunkelbraun und klein.,Моя сумка тёмно-коричневая и маленькая.,Моя сумка темно-коричнева і маленька.,colors
breit,-,adjective,широкий,широкий,Die Straße ist hier sehr breit.,Дорога здесь очень широкая.,Дорога тут дуже широка.,
bringen,-,verb,приносить,приносити,Er bringt mir Kaffee.,Он приносит мне кофе.,Він приносить мені каву.,food
danken,-,adjective,,,Es ist sehr danken.,Это очень danken.,Це дуже danken.,
denken,-,verb,думать,думати,Ich denke oft an dich.,Я часто думаю о тебе.,Я часто думаю про тебе.,
dick,-,adjective,толстый,товстий,Das Buch ist ziemlich dick.,Книга довольно толстая.,Книга досить товста.,
dort,-,adverb,там,там,Die Haltestelle ist dort.,Остановка там.,Зупинка там.,transport|city
draußen,-,adverb,снаружи,зовні,Wir warten draußen vor dem Gebäude.,Мы ждём снаружи перед зданием.,Ми чекаємо зовні перед будівлею.,
drei,-,number,три,три,Wir sind drei Personen.,Нас три человека.,Нас троє.,
dreizehn,-,adjective,,,Es ist sehr dreizehn.,Это очень dreizehn.,Це дуже dreizehn.,
dreißig,-,adjective,,,Es ist sehr dreißig.,Это очень dreißig.,Це дуже dreißig.,
drinnen,-,adverb,внутри,всередині,"Es ist kalt, wir bleiben drinnen.","Холодно, мы остаёмся внутри.","Холодно, ми залишаємося всередині.",
dritte,-,adjective,,,Es ist sehr dritte.,Это очень dritte.,Це дуже dritte.,
dumm,-,adjective,глупый,дурний,Das war eine dumme Idee.,Это была глупая идея.,Це була дурна ідея.,
durstig,-,adjective,испытывающий жажду,спраглий,Nach dem Lauf bin ich sehr durstig.,После пробежки я очень хочу пить.,Після пробіжки я дуже хочу пити.,health
duschen,-,verb,принимать душ,приймати душ,Ich dusche morgens kurz.,Я утром быстро принимаю душ.,Я зранку швидко приймаю душ.,home|health
dürfen,-,verb,мочь (с разрешения),можна (з дозволу),Hier darf man nicht rauchen.,Здесь нельзя курить.,Тут не можна палити.,
einfach,-,adjective,простой,простий,Die Lösung ist eigentlich ganz einfach.,Решение на самом деле довольно простое.,Рішення насправді доволі просте.,
einkaufen,-,adjective,,,Es ist sehr einkaufen.,Это очень einkaufen.,Це дуже einkaufen.,
einladen,-,verb,приглашать,запрошувати,Ich lade dich zum Essen ein.,Я приглашаю тебя на ужин.,Я запрошую тебе на вечерю.,food|family
eins,-,number,один,один,Ich habe nur eins dabei.,У меня с собой только один.,У мене з собою лише один.,
einschlafen,-,adjective,,,Es ist sehr einschlafen.,Это очень einschlafen.,Це дуже einschlafen.,
einsteigen,-,verb,садиться (в транспорт),сісти (в транспорт),Bitte steigen Sie ein!,"Пожалуйста, садитесь!","Будь ласка, сідайте!",transport
einundzwanzig,-,adjective,,,Es ist sehr einundzwanzig.,Это очень einundzwanzig.,Це дуже einundzwanzig.,
einverstanden,-,adjective,согласный,згодний,"Ja, ich bin damit einverstanden.","Да, я с этим согласен.","Так, я з цим згоден.",
elf,-,adjective,,,Es ist sehr elf.,Это очень elf.,Це дуже elf.,
empfehlen,-,adjective,,,Es ist sehr empfehlen.,Это очень empfehlen.,Це дуже empfehlen.,
enden,-,adjective,,,Es ist sehr enden.,Это очень enden.,Це дуже enden.,
eng,-,adjective,узкий,вузький,Die Hose ist mir zu eng.,Штаны мне слишком узкие.,Штани мені надто вузькі.,
entschuldigen (sich),-,phrase,,,entschuldigen (sich).,,,
erlaubt,-,adjective,разрешённый,дозволений,Hier ist Rauchen nicht erlaubt.,Здесь курить не разрешено.,Тут палити не дозволено.,other
erste,-,adjective,,,Es ist sehr erste.,Это очень erste.,Це дуже erste.,
essen,-,verb,есть,їсти,Ich esse gern Pizza.,Я люблю есть пиццу.,Я люблю їсти піцу.,food
fahren,-,verb,ехать/водить,їхати/водити,Ich fahre jeden Tag zur Arbeit.,Я каждый день езжу на работу.,Я щодня їжджу на роботу.,transport|study
fallen,-,verb,падать,падати,Die Blätter fallen im Herbst.,Листья падают осенью.,Листя падає восени.,weather|time
falsch,-,adjective,неправильный,неправильний,Das ist leider falsch.,"Это, к сожалению, неправильно.","Це, на жаль, неправильно.",study
feiern,-,verb,праздновать,святкувати,Wir feiern am Freitag.,Мы празднуем в пятницу.,Ми святкуємо в п’ятницю.,time
fernsehen,-,verb,смотреть телевизор,дивитися телевізор,Ich sehe abends fern.,Я вечером смотрю телевизор.,Я ввечері дивлюся телевізор.,home
fertig,-,adjective,готовый,готовий,Das Essen ist gleich fertig.,Еда скоро будет готова.,Їжа скоро буде готова.,food
finden,-,verb,находить,знаходити,Ich finde den Schlüssel nicht.,Я не могу найти ключ.,Я не можу знайти ключ.,home
fliegen,-,verb,лететь,летіти,Wir fliegen morgen nach Spanien.,Мы завтра летим в Испанию.,Ми завтра летимо до Іспанії.,transport
fragen,-,verb,спрашивать,питати,Ich frage den Lehrer.,Я спрашиваю учителя.,Я питаю вчителя.,study
frei,-,adjective,свободный,вільний,Ist dieser Platz noch frei?,Это место ещё свободно?,Це місце ще вільне?,city
freundlich,-,adjective,дружелюбный,дружній,Die Verkäuferin ist sehr freundlich.,Продавщица очень дружелюбная.,Продавчиня дуже привітна.,city
froh,-,adjective,радостный,радісний,Ich bin froh über die Nachricht.,Я рад этой новости.,Я радий цій новині.,
früh,-,adjective,рано,рано,Ich stehe früh auf.,Я рано встаю.,Я рано встаю.,time|health
frühstücken,-,verb,завтракать,снідати,Wir frühstücken um acht.,Мы завтракаем в восемь.,Ми снідаємо о восьмій.,food|time
funktionieren,-,verb,работать/функционировать,працювати/функціонувати,Die Lampe funktioniert wieder.,Лампа снова работает.,Лампа знову працює.,home
fünf,-,number,пять,п’ять,Ich warte noch fünf Minuten.,Я подожду ещё пять минут.,Я зачекаю ще п’ять хвилин.,time
fünfte,-,phrase,,,fünfte.,,,
fünfzehn,-,adjective,,,Es ist sehr fünfzehn.,Это очень fünfzehn.,Це дуже fünfzehn.,
fünfzig,-,adjective,,,Es ist sehr fünfzig.,Это очень fünfzig.,Це дуже fünfzig.,
ganz,-,adjective,,,Es ist sehr ganz.,Это очень ganz.,Це дуже ganz.,
gar,-,adjective,,,Es ist sehr gar.,Это очень gar.,Це дуже gar.,
geben,-,verb,давать,давати,Gib mir bitte das Buch.,"Дай мне, пожалуйста, книгу.","Дай мені, будь ласка, книжку.",study|home
gefallen,-,verb,нравиться,подобатися,Der Film gefällt mir.,Фильм мне нравится.,Фільм мені подобається.,
gehen,-,verb,идти,йти,Ich gehe zu Fuß nach Hause.,Я иду домой пешком.,Я йду пішки додому.,home|health
gehören,-,verb,принадлежать,належати,Das gehört mir.,Это принадлежит мне.,Це належить мені.,
gelb,-,adjective,жёлтый,жовтий,Die Banane ist gelb.,Банан жёлтый.,Банан жовтий.,colors|food
gemeinsam,-,adjective,,,Es ist sehr gemeinsam.,Это очень gemeinsam.,Це дуже gemeinsam.,
gerade,-,adverb,сейчас/только что,зараз/щойно,Ich komme gerade nach Hause.,Я как раз прихожу домой.,Я щойно приходжу додому.,time|home
gern,-,adjective,,,Es ist sehr gern.,Это очень gern.,Це дуже gern.,
gesund,-,adjective,,,Es ist sehr gesund.,Это очень gesund.,Це дуже gesund.,
gewinnen,-,verb,выигрывать,вигравати,Er gewinnt oft beim Spiel.,Он часто выигрывает в игре.,Він часто виграє у грі.,
glauben,-,verb,верить/думать,вірити/думати,Ich glaube dir.,Я верю тебе.,Я тобі вірю.,
glücklich,-,adjective,счастливый,щасливий,Heute bin ich sehr glücklich.,Сегодня я очень счастлив.,Сьогодні я дуже щасливий.,
grau,-,adjective,серый,сірий,Der Himmel ist heute grau.,Небо сегодня серое.,Небо сьогодні сіре.,colors|weather
groß,-,adjective,большой/высокий,великий/високий,Das Haus ist sehr groß.,Дом очень большой.,Дім дуже великий.,home
grün,-,adjective,зелёный,зелений,Der Salat ist frisch und grün.,Салат свежий и зелёный.,Салат свіжий і зелений.,colors|food
grüßen,-,verb,приветствовать,вітати,Ich grüße meine Nachbarn.,Я приветствую своих соседей.,Я вітаю своїх сусідів.,city|family
gut,-,adjective,,,Es ist sehr gut.,Это очень gut.,Це дуже gut.,
haben,-,verb,иметь,мати,Ich habe keine Zeit.,У меня нет времени.,У мене немає часу.,time
halten,-,verb,держать/останавливаться,тримати/зупинятися,Der Bus hält hier.,Автобус останавливается здесь.,Автобус зупиняється тут.,transport
heiß,-,adjective,горячий/жаркий,гарячий/спекотний,Der Tee ist zu heiß.,Чай слишком горячий.,Чай занадто гарячий.,food
heißen,-,verb,называться,називатися,Wie heißt du?,Как тебя зовут?,Як тебе звати?,
helfen,-,verb,помогать,допомагати,Er hilft seiner Mutter.,Он помогает своей маме.,Він допомагає своїй мамі.,family|health
hell,-,adjective,светлый,світлий,Das Zimmer ist hell und ruhig.,Комната светлая и тихая.,Кімната світла і тиха.,home
heute,-,adjective,,,Es ist sehr heute.,Это очень heute.,Це дуже heute.,
hier,-,adverb,здесь,тут,Ich wohne hier in der Nähe.,Я живу здесь поблизости.,Я живу тут неподалік.,home|city
holen,-,verb,забирать/приносить,забирати/приносити,Ich hole schnell den Arzt.,Я быстро приведу врача.,Я швидко покличу лікаря.,health|city
hundert,-,number,сто,сто,Im Lager sind hundert Stühle.,На складе сто стульев.,На складі сто стільців.,city|home
hungrig,-,adjective,голодный,голодний,Ich bin hungrig nach dem Sport.,Я голоден после спорта.,Я голодний після спорту.,health|food
höflich,-,adjective,,,Es ist sehr höflich.,Это очень höflich.,Це дуже höflich.,
hören,-,verb,слышать/слушать,чути/слухати,Ich höre gern Musik.,Я люблю слушать музыку.,Я люблю слухати музику.,
immer,-,adverb,всегда,завжди,Er kommt immer pünktlich.,Он всегда приходит вовремя.,Він завжди приходить вчасно.,time
jung,-,adjective,,,Es ist sehr jung.,Это очень jung.,Це дуже jung.,
kalt,-,adjective,холодный,холодний,Im Winter ist es kalt.,Зимой холодно.,Взимку холодно.,weather|time
kaputt,-,adjective,сломанный,зламаний,Mein Handy ist kaputt.,Мой телефон сломан.,Мій телефон зламаний.,
kaufen,-,verb,покупать,купувати,Ich kaufe Brot und Milch.,Я покупаю хлеб и молоко.,Я купую хліб і молоко.,food
kennen,-,verb,знать/быть знакомым,знати/бути знайомим,Ich kenne ihn gut.,Я его хорошо знаю.,Я його добре знаю.,
klar,-,adjective,ясный/понятный,ясний/зрозумілий,Ist das jetzt klar?,Теперь это ясно?,Тепер це зрозуміло?,
klein,-,adjective,маленький,маленький,Unsere Küche ist sehr klein.,Наша кухня очень маленькая.,Наша кухня дуже маленька.,home
klug,-,adjective,умный,розумний,Das ist eine kluge Idee.,Это умная мысль.,Це розумна думка.,
komisch,-,adjective,,,Es ist sehr komisch.,Это очень komisch.,Це дуже komisch.,
kommen,-,verb,приходить,приходити,Er kommt morgen zurück.,Он вернётся завтра.,Він повернеться завтра.,time
kosten,-,verb,стоить,коштувати,Wie viel kostet das?,Сколько это стоит?,Скільки це коштує?,city
krank,-,adjective,больной,хворий,Er ist krank und bleibt zu Hause.,Он болен и остаётся дома.,Він хворий і залишається вдома.,health|home
kurz,-,adjective,короткий,короткий,Die Pause ist sehr kurz.,Перерыв очень короткий.,Перерва дуже коротка.,study
können,-,verb,мочь (уметь),могти (вміти),Ich kann gut kochen.,Я умею хорошо готовить.,Я вмію добре готувати.,food
küssen,-,verb,целовать,цілувати,Sie küssen sich zum Abschied.,Они целуются на прощание.,Вони цілуються на прощання.,family
lachen,-,verb,смеяться,сміятися,Wir lachen über den Witz.,Мы смеёмся над шуткой.,Ми сміємося з жарту.,
lang,-,adjective,,,Es ist sehr lang.,Это очень lang.,Це дуже lang.,
langsam,-,adjective,медленный,повільний,Bitte fahr langsam.,"Пожалуйста, едь медленно.","Будь ласка, їдь повільно.",transport
laufen,-,verb,бежать/ходить,бігти/ходити,Ich laufe jeden Morgen im Park.,Я бегаю каждое утро в парке.,Я бігаю щоранку в парку.,health|city
laut,-,adjective,громкий,гучний,Die Musik ist zu laut.,Музыка слишком громкая.,Музика занадто гучна.,
leben,-,verb,жить,жити,Sie lebt in Deutschland.,Она живёт в Германии.,Вона живе в Німеччині.,home|city
leicht,-,adjective,лёгкий,легкий,Die Aufgabe ist leicht.,Задание лёгкое.,Завдання легке.,study
leise,-,adjective,тихий,тихий,Sei bitte leise.,"Пожалуйста, будь тише.","Будь ласка, будь тихіше.",
lernen,-,verb,учить/изучать,вчити/вивчати,Ich lerne Deutsch.,Я учу немецкий.,Я вчу німецьку.,study
lesen,-,verb,читать,читати,Ich lese gern Bücher.,Я люблю читать книги.,Я люблю читати книжки.,study
letzte,-,adjective,последний,останній,Das ist die letzte Frage.,Это последний вопрос.,Це останнє питання.,study
lieben,-,verb,любить,любити,Ich liebe meine Familie.,Я люблю свою семью.,Я люблю свою родину.,family
liegen,-,verb,лежать/находиться,лежати/знаходитися,Das Buch liegt auf dem Tisch.,Книга лежит на столе.,Книга лежить на столі.,home
lila,-,adjective,фиолетовый,фіолетовий,Ich mag lila Blumen.,Мне нравятся фиолетовые цветы.,Мені подобаються фіолетові квіти.,colors
machen,-,verb,делать,робити,Was machst du heute Abend?,Что ты делаешь сегодня вечером?,Що ти робиш сьогодні ввечері?,
macht,-,phrase,,,macht.,,,
manchmal,-,adverb,иногда,інколи,Manchmal trinke ich Tee.,Иногда я пью чай.,Інколи я п’ю чай.,food
meinen,-,verb,думать/полагать,вважати,"Ich meine, das ist besser so.","Я считаю, так лучше.","Я вважаю, так краще.",
mieten,-,verb,снимать,орендувати,Wir mieten eine kleine Wohnung.,Мы снимаем небольшую квартиру.,Ми орендуємо невелику квартиру.,home
mitbringen,-,verb,приносить с собой,приносити із собою,Bring bitte Brot mit.,"Пожалуйста, принеси с собой хлеб.","Будь ласка, принеси з собою хліб.",food
mitkommen,-,verb,идти вместе,йти разом,Kommst du morgen mit?,Пойдёшь завтра с нами?,Підеш завтра з нами?,
mitnehmen,-,verb,брать с собой,брати із собою,Nimm einen Regenschirm mit.,Возьми с собой зонт.,Візьми з собою парасольку.,weather
mitspielen,-,adjective,,,Es ist sehr mitspielen.,Это очень mitspielen.,Це дуже mitspielen.,
möchten,-,verb,хотеть бы,хотіти б,"Ich möchte einen Kaffee, bitte.","Я хотел бы кофе, пожалуйста.","Я хотів би каву, будь ласка.",food
mögen,-,verb,нравиться/любить,подобатися/любити,Ich mag frisches Obst.,Мне нравится свежие фрукты.,Мені подобаються свіжі фрукти.,food
möglich,-,adjective,возможный,можливий,Ist ein Termin morgen möglich?,Возможна встреча завтра?,Можлива зустріч завтра?,time|city
müde,-,adjective,уставший,втомлений,Ich bin nach der Arbeit müde.,Я устал после работы.,Я втомився після роботи.,health|study
müssen,-,verb,должен/нужно,мусити/потрібно,Ich muss früh aufstehen.,Мне нужно рано вставать.,Мені треба рано вставати.,
nah,-,adjective,близкий,близький,Die Schule ist ganz nah.,Школа совсем близко.,Школа зовсім близько.,study|city
nehmen,-,verb,брать,брати,Ich nehme die U-Bahn.,Я поеду на метро.,Я поїду метро.,transport
nennen,-,verb,называть,називати,Nenn mir bitte ein Beispiel.,"Назови, пожалуйста, пример.","Назви, будь ласка, приклад.",
nett,-,adjective,милый/приятный,милий/приємний,Die Nachbarn sind sehr nett.,Соседи очень милые.,Сусіди дуже приємні.,home|city
neu,-,adjective,новый,новий,Das Auto ist neu.,Машина новая.,Авто нове.,transport
neun,-,number,девять,дев’ять,Der Bus kommt um neun.,Автобус прибывает в девять.,Автобус прибуває о дев’ятій.,time|transport
neunzehn,-,adjective,,,Es ist sehr neunzehn.,Это очень neunzehn.,Це дуже neunzehn.,
neunzig,-,adjective,,,Es ist sehr neunzig.,Это очень neunzig.,Це дуже neunzig.,
